3ount,O3,O5,O4,W24,W25,W13,W15,W14,W23,W46,W56,W36,Err1,Err3,Err2,Err5,Err4,Err6,O6
193,0.93745163,0.99323054,0.01479547,-3.07943648,0.49545405,-2.65835251,3.99772703,1.96028176,2.68329498,0.64035499,-2.06010960,-2.56477913,0.00000000,0.00002025,0.00000000,0.00000186,-0.00000126,-0.00013472,0.01167534
194,0.93751097,0.99323117,0.01479455,-3.07946150,0.49549117,-2.65815114,3.99774559,1.96026925,2.68369772,0.64033516,-2.06144070,-2.56603556,0.00000000,0.00002014,0.00000000,0.00000186,-0.00000125,-0.00013402,0.01164460
195,0.93756993,0.99323179,0.01479364,-3.07948638,0.49552813,-2.65795090,3.99776406,1.96025681,2.68409820,0.64031544,-2.06276489,-2.56728554,0.00000000,0.00002002,0.00000000,0.00000185,-0.00000124,-0.00013332,0.01161410
196,0.93762851,0.99323241,0.01479273,-3.07951114,0.49556491,-2.65775177,3.99778245,1.96024443,2.68449646,0.64029582,-2.06408222,-2.56852912,0.00000000,0.00001991,0.00000000,0.00000184,-0.00000124,-0.00013263,0.01158384
197,0.93768671,0.99323303,0.01479183,-3.07953576,0.49560152,-2.65755374,3.99780076,1.96023212,2.68489252,0.64027630,-2.06539277,-2.56976638,0.00000000,0.00001980,0.00000000,0.00000183,-0.00000123,-0.00013195,0.01155381
198,0.93774454,0.99323365,0.01479093,-3.07956026,0.49563796,-2.65735680,3.99781898,1.96021987,2.68528639,0.64025688,-2.06669661,-2.57099738,0.00000000,0.00001969,0.00000000,0.00000182,-0.00000122,-0.00013127,0.01152401
199,0.93780200,0.99323426,0.01479004,-3.07958463,0.49567424,-2.65716094,3.99783712,1.96020769,2.68567811,0.64023757,-2.06799381,-2.57222218,0.00000000,0.00001959,0.00000000,0.00000181,-0.00000122,-0.00013060,0.01149444
200,0.93785910,0.99323487,0.01478915,-3.07960887,0.49571035,-2.65696615,3.99785517,1.96019556,2.68606770,0.64021835,-2.06928443,-2.57344085,0.00000000,0.00001948,0.00000000,0.00000181,-0.00000121,-0.00012994,0.01146509
201,0.93791583,0.99323548,0.01478827,-3.07963299,0.49574630,-2.65677242,3.99787315,1.96018350,2.68645517,0.64019923,-2.07056855,-2.57465344,0.00000000,0.00001937,0.00000000,0.00000180,-0.00000121,-0.00012929,0.01143597
202,0.93797222,0.99323608,0.01478739,-3.07965699,0.49578208,-2.65657973,3.99789104,1.96017151,2.68684055,0.64018021,-2.07184621,-2.57586002,0.00000000,0.00001927,0.00000000,0.00000179,-0.00000120,-0.00012864,0.01140706
